,Polarity,Tweet_ID,Date,Query,Username,Tweet_text,VADER score
57147,0,1685590701,Sun May 03 01:05:39 PDT 2009,NO_QUERY,smkudelko,i fucking want to kill kill myself.  want to get my ex girlfriend want to get bac.  i'm so depressided.  i want to win kayla so back  ,-0.5797
79082,0,1751668790,Sat May 09 19:59:39 PDT 2009,NO_QUERY,katewhinesalot,@glossymom Challenging yes. Altitude sickness is the worst feeling ever! I wanted to kill myself on Everest. lol. I have bad shins too. ,-0.7901
84499,0,1753611470,Sun May 10 02:30:52 PDT 2009,NO_QUERY,cillian23,I always am a sucker for bible verses and Christian songs. It makes me want to kill myself for falling short. ,-0.8555
91098,0,1759341217,Sun May 10 19:00:13 PDT 2009,NO_QUERY,Max_is_awesome,@hiKelseyYO  I know  I should kill myself,-0.6908
92442,0,1760040084,Sun May 10 20:31:32 PDT 2009,NO_QUERY,TTACG,Anybody know who's hiring? I'm looking for a new job. If I don't get out of my current one I might kill myself ,-0.6908
145654,0,1882273420,Fri May 22 06:34:06 PDT 2009,NO_QUERY,BritniJean,Damn pizza...why do you have to be so good? Now I have to kill myself with 4 workouts this weekend ,-0.566
146395,0,1882469479,Fri May 22 06:55:50 PDT 2009,NO_QUERY,lissxx,"in music, so frigging bored i might act kill myself ! ",-0.8254
147356,0,1882759165,Fri May 22 07:26:17 PDT 2009,NO_QUERY,CBinkz,"showerrrrr, getting ready for work. gonna kill myself because i hate it. but shh dont tell my dad cuz he's my boss which sucks balls ",-0.7717
168808,0,1962310128,Fri May 29 10:50:55 PDT 2009,NO_QUERY,Courtneyx23,Ready to kill myself  i hate history,-0.7845
179554,0,1966289760,Fri May 29 17:29:29 PDT 2009,NO_QUERY,solitarybelle,so far I've tried to kill myself TWICE in the 15 mins I've been outside by tripping on stupid things.  I knew I should've stayed in bed.,-0.8442
179693,0,1966327243,Fri May 29 17:33:46 PDT 2009,NO_QUERY,vickijonasx,i'm going to kill myself T_T . i wasted hundreds of download and realised i got the wrong one ,-0.9001
182681,0,1967208972,Fri May 29 19:09:57 PDT 2009,NO_QUERY,Ealta,@kdubyas I'm upset I didn't get to see them  I might kill myself,-0.8074
219695,0,1976456291,Sat May 30 17:22:21 PDT 2009,NO_QUERY,XimyoursX, man i feel so fuckin shit. I have fuck all goin for me. May as wel jst kill myself now.,-0.9198
220873,0,1976717795,Sat May 30 18:51:31 PDT 2009,NO_QUERY,jatetenkins,Going to kill myself.. watching Drag Me To Hell ,-0.9042
240434,0,1980875533,Sun May 31 07:53:39 PDT 2009,NO_QUERY,dancingmanikin,My hand coordination damn bad. omg I'm gonna kill myself now ,-0.8271
253264,0,1983943795,Sun May 31 14:08:13 PDT 2009,NO_QUERY,juanrossi,@demente Silence! I kill myself! ,-0.7418
271537,0,1990036726,Mon Jun 01 03:40:09 PDT 2009,NO_QUERY,MRCogdell11,thinking of ways to kill myself..i have worked so hard to schedule all of my classes after 10 am...and now my very last course is at 7:30 ,-0.7626
290550,0,1995397380,Mon Jun 01 13:25:32 PDT 2009,NO_QUERY,luie01,@Elaine_11 I'm going to York tomorrow and leaving my laptop at home   I might have kill myself by this time tomorrow lol,-0.4404
292342,0,1995973615,Mon Jun 01 14:20:11 PDT 2009,NO_QUERY,lawlitsmichael,oh noesss my phone is dieing  im ganna kill myself!!! being in this class room with no phone fml.,-0.8306
292411,0,1995999149,Mon Jun 01 14:22:34 PDT 2009,NO_QUERY,nickjam,so the casting for the Avatar movie makes me want to kill myself ,-0.6597
292506,0,1996016661,Mon Jun 01 14:24:15 PDT 2009,NO_QUERY,nickjam,so the casting for the Avatar movie makes me want to kill myself  except for Jackson Rathbone as Sokka; hoooot hot hot.,-0.6597
292519,0,1996035007,Mon Jun 01 14:25:59 PDT 2009,NO_QUERY,nickjam,so the casting for the Avatar movie makes me want to kill myself  except for Jackson Rathbone as Sokka; hot hot hot.,-0.6597
293316,0,1996285376,Mon Jun 01 14:49:57 PDT 2009,NO_QUERY,lawrenx3,this research paper seriously makes me wanna kill myselfffff ,-0.7506
295190,0,1996798757,Mon Jun 01 15:42:40 PDT 2009,NO_QUERY,PatsyTravers,@TashaLxo i actually would rather kill myself right now than sit that history exam!! ,-0.7418
317313,0,2002590587,Tue Jun 02 04:38:52 PDT 2009,NO_QUERY,mjh81,"Listening to radio 2 in the office, its making me want to kill myself, its so depressing and sad ",-0.9028
330383,0,2012150545,Tue Jun 02 20:09:12 PDT 2009,NO_QUERY,MariluMonster,If i have a nightmare about the ruins tonight i'm going to kill myself. Seriously :/. Sleep with me  scare the monsters away.,-0.91
332425,0,2013026279,Tue Jun 02 21:45:52 PDT 2009,NO_QUERY,rrrrrrrrrrachel,What the fuck no. If it's 90 degrees tomorow I'll kill myself ,-0.886
340167,0,2014791424,Wed Jun 03 02:42:02 PDT 2009,NO_QUERY,adriwadri,@Jredthegreat im gonna kill myself. but he's like busy wth DH and that other movie he got in so i think no ,-0.8135
341132,0,2014981500,Wed Jun 03 03:19:33 PDT 2009,NO_QUERY,adoptedcullen,i thnk i'm goin to kill myself if my memory stick dont start workin agen soon!!! ,-0.7633
341226,0,2014998495,Wed Jun 03 03:22:53 PDT 2009,NO_QUERY,thethingiskat,i'm going to kill myself in 5 hours when i have to get up for work.  goodnight.,-0.6908
376568,0,2051702745,Fri Jun 05 22:36:02 PDT 2009,NO_QUERY,Bink_Danger,Just going to kill myself because i'm so bored. I want to hang out so bad ,-0.9072
411884,0,2060218592,Sat Jun 06 18:29:17 PDT 2009,NO_QUERY,angel9293,@jryan9307 aweess john &lt;3 dont kill urself id be sad if u did  id probs kill myself 2 :p,0.7488
431130,0,2064485324,Sun Jun 07 06:23:53 PDT 2009,NO_QUERY,SillySarah7448,I never have any one to talk to and i hate my self and may kill myself if no one will talk to me or say anything to me on twitter   ,-0.891
436277,0,2065625565,Sun Jun 07 08:58:42 PDT 2009,NO_QUERY,princess2c,I wish to kill myself  am soo bored of revising...FINISH tomorrow!! how come celebrities never have to revise?!?!,-0.7669
443589,0,2067599566,Sun Jun 07 12:37:48 PDT 2009,NO_QUERY,the_mad_1,@holliesauvage @Fletch92 You two are leaving me out  I'm gonna go kill myself now... hurt my feelings  lol!,-0.7644
447046,0,2068591280,Sun Jun 07 14:20:51 PDT 2009,NO_QUERY,shoefetish37,Mommy jus told me to kill myself  how rude!,-0.8398
447175,0,2068628048,Sun Jun 07 14:24:49 PDT 2009,NO_QUERY,macsupporter,@Mirenny Im so stupid! Do you think I still can? I want to kill myself! ,-0.8847
468702,0,2176052238,Mon Jun 15 02:46:29 PDT 2009,NO_QUERY,m4s,@Reyane thanks...now like me kill myself ,-0.4939
469991,0,2176330887,Mon Jun 15 03:34:44 PDT 2009,NO_QUERY,lisawiy,"no reception at fraser, am about to kill myself this camp is shit ",-0.8885
496981,0,2185736095,Mon Jun 15 17:49:44 PDT 2009,NO_QUERY,desiwesi,@chloerulezd00d I think in going to kill myself.I don't even know what I have to do for English ,-0.6908
